0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About Christians,FALSE,FALSE,0.037461774,0,0.100838716,0,0,0.01892551,0,0.035577679,0,0,1.333333333,0.001936607,0.000257457,,,About Christian preachers atheists,TRUE,TRUE,0.05879888,0,0.013378466,0.019721889,0.064152723,0.026802295,0,0.0170999,-0.013314665,0.011852889,Atheists,,About nonreligious people,FALSE,FALSE,0.072202166,0,0.066975711,0,0,0.017190556,0,-0.081129341,0,0
2007,Discussion,atheist,recorded for general public,About Christians,FALSE,TRUE,0,0.066037736,0,0,0.068627451,0,-0.042798571,0,0,-0.048564286,2,0.001360942,0.000630193,,,About nonreligious people,FALSE,TRUE,0,0,0.172561481,0,0.05,0,0,-0.063239598,0,0.059580556,Atheists,,About nonreligious people,FALSE,TRUE,0,0,0.172561481,0,0.05,0,0,-0.063239598,0,0.059580556
2007,Discussion,atheist,recorded for general public,About Christians,TRUE,FALSE,0.01190546,0.025534529,0.062826704,0.053216975,0.014825442,-0.001607088,0.009266905,-0.017075752,-0.024270291,0.029192979,1.7,0.000531799,0.00045432,,,About nonreligious people,TRUE,TRUE,0.033537832,0,0.039097138,0.042735043,0,0.004443089,0,-0.046772852,0.038493333,0,Atheists,,About nonreligious people,TRUE,TRUE,0.033537832,0,0.039097138,0.042735043,0,0.004443089,0,-0.046772852,0.038493333,0
2007,Discussion,atheist,recorded for general public,About Christians,TRUE,TRUE,0,0.071942446,0,0.064516129,0,0,0.0828375,0,0.027283333,0,0.666666667,0.001403464,0.001295278,,,About secular people,FALSE,TRUE,0,0.122241087,0,0,0,0,-0.088234722,0,0,0,Atheists,,About secular people,FALSE,TRUE,0,0.122241087,0,0,0,0,-0.088234722,0,0,0
2007,Discussion,atheist,recorded for general public,About Muslims,FALSE,FALSE,0,0,0,0.060869565,0,0,0,0,-0.027414286,0,2,0.000741021,0.000150309,,,About secular people,TRUE,TRUE,0.05557028,0,0.042284632,0.028846154,0.011029412,0.019409615,0,0.001358923,-0.031075926,-0.022455556,Atheists,,About secular people,TRUE,TRUE,0.05557028,0,0.042284632,0.028846154,0.011029412,0.019409615,0,0.001358923,-0.031075926,-0.022455556
2007,Discussion,atheist,recorded for general public,About Muslims,TRUE,FALSE,0,0.026086957,0.004944931,0,0.041666667,0,0.00592716,0.121033333,0,-0.063909259,1.5,0.000346019,0.004493375,,,About Christian preachers atheists,TRUE,TRUE,0.065837774,0.033283349,0.009731378,0.013169257,0.037937301,-0.046578042,-0.00171625,0.039863095,-1.17E-05,-0.036974405,Atheists,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About Muslims,TRUE,TRUE,0,0,0,0.038065844,0.06557377,0,0,0,-0.028841892,0.134059375,1,0.000900173,0.004147407,,,About Christian preachers atheists,TRUE,TRUE,0.05879888,0,0.013378466,0.019721889,0.064152723,0.026802295,0,0.0170999,-0.013314665,0.011852889,Atheists,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About nonreligious people,FALSE,FALSE,0,0,0.142857143,0,0,0,0,0.157714286,0,0,0.333333333,0.004081633,0.004974759,,,About Christian theologians,TRUE,TRUE,0.067955333,0.011820331,0.01877998,0,0.04050307,-0.071502531,-0.011472593,0.040405397,0,0.014749841,Christians,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About nonreligious people,FALSE,TRUE,0.097513321,0,0,0,0.132478632,0.113605556,0,0,0,-0.075662097,4,0.004120044,0.004585758,,,About Christian theologians,TRUE,TRUE,0.036966221,0.043441938,0.03803132,0,0,0.138016667,0.0292875,-0.05482549,0,0,Christians,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About nonreligious people,TRUE,FALSE,0,0,0,0.166666667,0,0,0,0,-0.137577778,0,1,0.005555556,0.003785529,,,About Christian theologians,FALSE,TRUE,0,0.20610687,0,0,0,0,-0.071511111,0,0,0,Christians,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About nonreligious people,TRUE,TRUE,0.177777778,0,0.111111111,0,0,-0.409,0,-0.043861111,0,0,1.5,0.006814815,0.03204704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About other religious people,FALSE,FALSE,0,0,0,0,0.285801714,0,0,0,0,-0.018843182,4,0.016336524,7.10E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About other religious people,TRUE,FALSE,0,0,0,0.055187638,0.190534476,0,0,0,-0.062170667,0.012562121,1,0.006818298,0.000882699,,,,,,,,,,,,,,,,,,About other religious people,TRUE,FALSE,0.039005329,0.047194719,0,0.04952381,0,-0.045442222,0.023893429,0,-0.026009231,0
2007,Discussion,atheist,recorded for general public,About religious people,FALSE,FALSE,0.046502078,0.032506058,0.022686125,0.015390507,0.01538242,0.037004591,0.02522094,-0.032776213,-0.021562809,0.031970486,3,0.000174431,0.001062267,,,,,,,,,,,,,,,,,,About other religious people,FALSE,FALSE,0,0,0.136035313,0,0,0,0,-0.081888448,0,0
2007,Discussion,atheist,recorded for general public,About religious people,FALSE,TRUE,0.039005329,0.034285714,0.02038835,0,0.105982906,0.045442222,0.08329,-0.023051429,0,-0.060529677,10,0.001592995,0.003197426,,,,,,,,,,,,,,,,,,About other religious people,TRUE,FALSE,0,0,0,0.16194332,0,0,0,0,-0.037505,0
2007,Discussion,atheist,recorded for general public,About religious people,TRUE,FALSE,0.082680082,0.023905665,0.021257118,0.009365158,0.022035454,-0.026065871,-0.000215102,0.006470141,0.015300231,-0.004836861,1.8,0.000840228,0.000240339,,,,,,,,,,,,,,,,,,About other religious people,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0
