0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,
2005,q&a,random,rather atheist live event,About Christians,TRUE,FALSE,0.065008881,0,0.063819669,0,0.064102564,-0.075737037,0,0.001323041,0,-0.10278,1,0.00124094,0.002505509,,,About Christians,TRUE,FALSE,0.031169330965068087,0.038979297,0.036687561986843004,0.018762575,0.050809717,-0.016868254,-0.015502744,0.000687493,0.00257053,-0.009209,Christians
2005,q&a,random,rather atheist live event,About Christians,TRUE,TRUE,0.081391422,0.026186579378068738,0,0.005563639,0.065628816,-0.133512725,-0.013857619,0,0.007116264,-0.005990421,1.1666666666666667,0.001314155,0.003456679,,,About Christians,TRUE,TRUE,0,0,0.2054794520547945,0,0,0,0,0.045933333,0,0,Christians
2005,q&a,random,rather atheist live event,About Muslims,FALSE,FALSE,0.07504267,0,0,0,0.06300813,-0.158654942,0,0,0,-0.124070161,2,0.001447456,0.006144525,,,About Christian fundamentalists,FALSE,FALSE,0.031459561,0.037749287749287756,0.011629699824940018,0.023148148,0.046168901859958776,0.01940043,0.014728055555555557,-0.028876786,-0.019796759,-0.092806304,Christians
2005,q&a,random,rather atheist live event,About Muslims,TRUE,FALSE,0.069033385,0.030864198,0.013857955951497157,0.041246619,0.035087719,-0.060800997,-0.066461111,-0.001842063,-0.002860442,-0.008687037,1.5,0.000403962,0.001061076,,,About Christian fundamentalists,FALSE,TRUE,0.1516370328322133,0,0,0,0,0.14037222222222231,0,0,0,0,Christians
2005,q&a,random,rather atheist live event,About Muslims,TRUE,TRUE,0.025153374233128835,0.037298387096774195,0.049786369,0,0,0.003332317,-0.099804054,0.038712573,0,0,2,0.000495766,0.002700848,,,About Christian fundamentalists,TRUE,FALSE,0.042781717,0.039777293,0.049661704,0.004916964,0.006683375,-0.028468104,0.036560887,0.012163649477817163,-0.005876289,-0.006360526,Christians
2005,q&a,random,rather atheist live event,About other religious people,FALSE,FALSE,0.030216023,0.012269938650306749,0,0.055187574,0.039569161,-0.061054181,0.009583673,0,0.028290616246498597,0.042798809523809524,1.75,0.000476959,0.001593644,,,About Christian fundamentalists,TRUE,TRUE,0.014880952380952382,0.038829866,0,0.034562211981566816,0.039569161,0.021359999999999997,0.058852503,0,0.024333673469387754,-0.04279881,Christians
2005,q&a,random,rather atheist live event,About other religious people,FALSE,TRUE,0.10830324909747292,0,0.046875,0,0,0.025785833333333327,0,-0.311383333,0,0,2,0.0022777,0.020327825769305558,,,About Christians,FALSE,FALSE,0,0.10192966075319015,0.032401242787394584,0,0,0,-0.07297,-0.013197717,0,0,Christians
2005,q&a,random,rather atheist live event,About other religious people,TRUE,FALSE,0.059595132,0.041146918924696706,0.040320064526869835,0,0.037189662,-0.075863704,-0.025770271,0.000903738,0,0.014146666666666674,0.7058823529411765,0.000474672,0.001280253,,,About Christians,TRUE,FALSE,0.065008881,0,0.063819669,0,0.064102564,-0.075737037,0,0.001323041,0,-0.10278,Christians
2005,q&a,random,rather atheist live event,About other religious people,TRUE,TRUE,0.1000966,0,0,0.037861915,0,-0.093623002,0,0,-0.032850327,0,0.6,0.001911586,0.001661327,,,About Christians,TRUE,TRUE,0.081391422,0.026186579378068738,0,0.005563639,0.065628816,-0.133512725,-0.013857619,0,0.007116264,-0.005990421,Christians
2005,q&a,random,rather atheist live event,About religious fundamentalists,TRUE,FALSE,0,0.07233776,0.016393442622950817,0,0.077991453,0,0.058519923076923074,0.049715999999999996,0,0.047794839,1.6666666666666667,0.001506219,0.000827872,,,About Christian fundamentalists,FALSE,FALSE,0.1566265060240964,0,0,0,0,-0.328576923,0,0,0,0,Christians
2005,q&a,random,rather atheist live event,About religious people,TRUE,FALSE,0.055581969326074177,0.012326656394453005,0.068891569,0.032967033,0,-0.023315598,-0.013017899,0.058190891,-0.031310769,0,1.4444444444444444,0.000827498,0.001265438,,,About Christian fundamentalists,TRUE,FALSE,0.065008881,0,0.064860669,0,0,-0.075737037,0,0.023410537,0,0,Christians
2005,q&a,random,rather atheist live event,About scientists,TRUE,FALSE,0.040732583635983526,0.008902585,0.025157390979745745,0.037710438,0,-0.010668409,-0.009401816,-0.024212434,-0.009427778,0,1.2857142857142858,0.000315496,7.509296016591045e-05,,,About Christian fundamentalists,TRUE,TRUE,0,0.075980392,0.043715847,0,0,0,-0.189614516,0.00704375,0,0,Christians
2005,q&a,random,rather atheist live event,About scientists,TRUE,TRUE,0.043703615,0.014100185528756958,0,0.060850195390093335,0,0.02669127,-0.030028947,0,-0.013672953,0,2.3333333333333335,0.000748953,0.00043581,,,About Christian preachers,FALSE,FALSE,0.050995025,0.040566399,0,0,0.077192982,0.084747154,0.004285535,0,0,-0.069387879,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About atheists,FALSE,FALSE,0.045384071826419486,0.048300635,0.048849021,0,0,-0.114802802,-0.007477647,-0.024488473,0,0,2.6666666666666665,0.00067893,0.002381765,,,About Christian preachers,TRUE,FALSE,0.04363138,0.050222542,0,0.012544802867383511,0.042872574,-0.000471706,-0.028980868,0,-0.002462698,-0.022236532,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About atheists,TRUE,FALSE,0.1266111707841031,0,0,0,0,-0.159504809,0,0,0,0,1,0.003206078,0.005088357,,,About Christian preachers,TRUE,TRUE,0.080725759,0,0,0.057810020403536624,0.028647214854111407,-0.187943666,0,0,-0.004593643,-0.007372593,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian fundamentalists,FALSE,FALSE,0.1566265060240964,0,0,0,0,-0.328576923,0,0,0,0,0.5,0.004906372,0.021592558875739642,,,About Christians,FALSE,FALSE,0,0,0.2054794520547945,0,0,0,0,-0.045933333,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian fundamentalists,TRUE,FALSE,0.065008881,0,0.064860669,0,0,-0.075737037,0,0.023410537,0,0,0.5,0.00126496,0.001434135,,,About Christians,TRUE,FALSE,0.036314721240238435,0,0.042147696,0,0.039723838,0.010071296941540834,0,0.012781588971204924,0,-0.011453629,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian fundamentalists,TRUE,TRUE,0,0.075980392,0.043715847,0,0,0,-0.189614516,0.00704375,0,0,4,0.001204664,0.007334216,,,About Christians,FALSE,FALSE,0.056192661,0,0,0.042035398230088505,0,0.028388265306122453,0,0,0.001371053,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian preachers,FALSE,FALSE,0.050995025,0.040566399,0,0,0.077192982,0.084747154,0.004285535,0,0,-0.069387879,6,0.001127318,0.002984485,,,About Christians,TRUE,FALSE,0.0318135,0.047691187,0.028800570069952923,0.009278807,0.014197944,0.016218613851621485,-0.013220734,0.029380923,-0.009386535,-0.014619528,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian preachers,TRUE,FALSE,0.04363138,0.050222542,0,0.012544802867383511,0.042872574,-0.000471706,-0.028980868,0,-0.002462698,-0.022236532,0.6923076923076923,0.000491262,0.000188539,,,About Christians,TRUE,TRUE,0.029481132,0.043103448,0.038546256,0.031791907514450865,0,0.047982,0.020095,0.000137143,0.023639772727272725,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christian preachers,TRUE,TRUE,0.080725759,0,0,0.057810020403536624,0.028647214854111407,-0.187943666,0,0,-0.004593643,-0.007372593,0.8333333333333334,0.00127232,0.006851371,,,About Christian preachers,FALSE,TRUE,0.036966221,0,0,0,0.061951056,-0.138016667,0,0,0,0.047654545454545456,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christians,FALSE,FALSE,0,0,0.2054794520547945,0,0,0,0,-0.045933333,0,0,0.3333333333333333,0.008444361,0.000421974,,,About Christian preachers,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Christians,TRUE,FALSE,0.036314721240238435,0,0.042147696,0,0.039723838,0.010071296941540834,0,0.012781588971204924,0,-0.011453629,1.1666666666666667,0.000469893,9.249926130915819e-05,,,About Christians,TRUE,FALSE,0.23777403035413155,0,0,0,0,-0.079136879,0,0,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About moderate Muslims,FALSE,FALSE,0.093031836,0.027777777777777776,0,0,0.066239316,0.3277057298335466,-0.036909091,0,0,-0.037831048,0.5,0.001704179,0.024346549,,,About Christians,TRUE,TRUE,0.097513321,0,0.058645707,0,0,-0.113605556,0,-0.070159278,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About moderate Muslims,TRUE,FALSE,0.023279119353897076,0.029538239595038894,0.053966786,0.010504018169112509,0.060450058,-0.03793813,0.024179897186147183,-0.001604178,-0.007400782,0.017764091956430656,2.1538461538461537,0.000443302,0.00059797,,,About Christians,TRUE,FALSE,0.14544555584389032,0,0,0,0,0.16012243617173025,0,0,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Muslim fundamentalists,FALSE,FALSE,0.08642697,0.025531915,0,0,0.023809524,0.13613743333333334,-0.035290833,0,0,0.026961599999999995,1.25,0.001250445,0.004309696,,,About Christians,FALSE,FALSE,0.1991701244813278,0,0,0,0,0.4524687499999998,0,0,0,0,Christians
2006,Interview in person,not an outspoken atheist,recorded for general public,About Muslim fundamentalists,TRUE,FALSE,0.047058229,0.045815556,0.028631388,0.009577465,0.015196687370600415,-0.088317581,0.040979512321012324,0.001328855,0.005998941,-0.009899653,1.25,0.000294109,0.002279218,,,About Christians,TRUE,FALSE,0.034172901362041146,0,0.077046643,0,0,-0.003136358,0,0.078715717,0,0,Christians
